Atributo,Fix,Distributed,Analytics,Lite
FPSWarnings,1,1,0,0
FactorMeanPond,0,0,0,1
FocalLength,1,1,0,0
Fps,1,1,1,1
FpsShow,1,1,1,1
FramesSecondRtsp,1,1,1,1
Fuel[20],0,0,1,0
Gain,1,1,1,1
GasAbsorption,0,0,1,0
GasDensity,0,0,0,1
GasEmission,0,0,1,0
GasTemperature,0,0,0,1
Geolocation[100],1,1,0,0
GlobalTemp,1,1,0,0
HR,0,0,0,1
HasCompass,1,1,1,0
HasLaser,1,0,0,0
HasMemorySPI,1,1,1,0
HasPleoraExpansor,1,1,1,0
HasSensorLens,1,1,0,0
HasSensorTemperature,0,0,1,0
HasShutter,1,1,1,1
HorizontalFlip,1,1,1,1
IFOV,1,1,0,0
ImageRotate,1,1,1,1
IntegrationData,1,0,0,0
IntegrationTime,1,1,1,1
InvertValues,1,1,1,1
IsDummy,1,0,0,0
KernelCO2,0,0,1,0
KernelCO,0,0,1,0
KernelHC,0,0,1,0
KernelNOx,0,0,1,0
KernelOpacity,0,0,1,0
Lambda1,0,0,1,0
Lambda2,0,0,1,0
LaserCOM,1,1,0,0
LeakDistance,0,0,0,1
LeftCutout,1,1,0,0
License[CONFIG_MAX_PATH + 1],1,1,0,0
MaintenanceMode,1,1,0,0
MatHeight,1,1,1,1
MatMetaDataLeft,1,1,1,1
MatMetaDataRight,1,1,1,1
MatType,1,1,1,1
MatWidth,1,1,1,1
MaxFlowRateLimit,0,0,0,1
MaxOperationTemperature,1,1,0,0
MaxPixSaturated,1,1,0,0
Mean,1,1,0,1
MediaTemp,1,1,0,0
MinFlowRateLimit,0,0,0,1
ModeConvert2_8To16,1,1,1,1
NextCheckTime[50],1,1,0,0
NucSecondsBetweenAutomatic,1,1,1,1
OCR,0,0,1,0
OCRPort,0,0,1,0
Offset,0,0,1,0
OffsetIfov_x,1,1,0,0
OffsetIfov_y,1,1,0,0
OpticalSize[50],0,0,1,1
PTLimitPanLeft,0,1,0,0
PTLimitPanRight,0,1,0,0
PTLimitTiltBottom,0,1,0,0
PTLimitTiltTop,0,1,0,0
PaletteBar,1,1,1,1
PaletteRtsp,1,1,1,1
PanAndTilt,1,1,1,1
PanAndTiltCom,1,1,0,0
PanAndTiltID,1,1,0,0
PanAndTiltPelcoD,1,1,0,0
PanAndTiltSpeed,1,1,0,0
PanInverted,1,1,0,0
ParamGFID,1,1,1,0
ParamGSK,1,1,1,0
ParamGain,1,1,1,0
ParamTInt,1,1,1,0
ParamVBUS,1,1,1,0
ParamVSK,1,1,1,0
PeriodicDeleteAt,1,1,0,0
PeriodicDeleteAtActive,1,1,0,0
PeriodicDeleteAtTime[50],1,1,0,0
PeriodicPunctual,1,1,0,0
PeriodicRepeat,1,1,0,0
PeriodicUnitsValue,1,1,0,0
PeriodicUnits[50],1,1,0,0
PixelPitch,1,1,0,0
PlaybackSpeed[20],0,0,1,0
PortThirdPartyHttp,1,1,1,1
PortThirdPartyOnvif,1,1,1,0
PortThirdPartyRtsp,1,1,1,1
PresetActiveAutomatic[CFG_MAX_SMALL_ID + 1],1,1,1,1
PulseRelay,1,0,0,0
PulseRelaySeconds,1,0,0,0
QByteArray aPartNumber,1,1,1,0
RTSPAccessControl,1,1,0,0
RTSPPassword[50],1,1,0,0
RTSPUsername[50],1,1,0,0
ReconnectionAttemps,1,1,1,1
ReconnectionWait,1,1,1,1
RegionSize,0,1,0,1
RelayPort,1,1,0,0
ResetDateTime[50],1,1,1,0
ResetPeriodicDateTime[50],1,1,1,0
ResetPeriodicEnabled,1,1,1,0
ResetPunctualEnabled,1,1,1,0
ResetUnitsValue,1,1,1,0
ResetUnits[10],0,0,1,0
ResetUnits[20],1,1,0,0
RightCutout,1,1,0,0
SecondsDelayClosedshutterImgnuc,1,1,1,1
SensiaNUC,1,1,0,0
Sensitivity[50],0,0,1,1
SensorPort,1,1,0,0
SerialNumber[CONFIG_MAX_PATH + 1],1,1,0,0
ShowCurrentFrame,1,1,0,0
ShowDigitalLevels,1,1,1,1
ShowNOROI,1,1,1,1
ShowROI,1,1,1,1
ShowSaturatedPixels,1,1,1,0
ShowSimulateName,1,1,0,0
ShowWindowTest,1,1,0,0
ShutterMaxPos,1,1,0,0
ShutterMinPos,1,1,0,0
SimpleCrypt *crypto,1,1,1,0
SizeClahe,0,0,0,1
SizeClaheEnhanced,0,0,0,1
SizeClaheSkip,0,0,0,1
Skip,1,1,0,1
StepperPort,1,1,0,0
Stretching,1,1,1,1
StretchingRegion,0,1,0,1
SwitchIP[CONFIG_MAX_PATH + 1],1,1,0,0
SwitchInterface,1,1,0,0
SwitchPOE,1,1,0,0
TFrame,0,0,0,1
THLocalMinCO2,0,0,1,0
THLocalMinCO,0,0,1,0
THLocalMinHC,0,0,1,0
THLocalMinNOx,0,0,1,0
THLocalMinOpacity,0,0,1,0
TamVectorData,0,0,0,1
TarjetGas[50],0,0,1,1
TemperatureUnits[50],0,0,0,1
ThresholdCO,0,0,1,0
ThresholdHC,0,0,1,0
ThresholdNOx,0,0,1,0
ThresholdOpacity,0,0,1,0
TiltInverted,1,1,0,0
TimeSendFps,1,1,1,1
TopCutout,1,1,0,0
TourActiveAutomatic[CFG_MAX_SMALL_ID + 1],1,1,1,1
Units[50],0,0,1,1
ValuesRtsp,1,1,1,1
VariationThreshold,0,0,1,0
VerticalFlip,1,1,1,1
WaitTime,0,0,1,0
WeightingFactors,1,1,0,0
WindowSize,0,0,0,1
